产品,交易量,未结订单,外在价值,Rho,Theta,Vega,Gamma,NDelta,Δ|增量,最终,大小,IV 报价,买价,标记,卖价,IV 询价,大小
BTC-26DEC25-70000-P,5.2,1011.6,,-9.07226,-9.02562,35.61372,-,,-0.0238,0.003,40.8,52.83,0.0027,0.0028,0.0029,53.5,0.1
BTC-26DEC25-75000-C,2.3,60.6,,202.87546,-11.53819,48.12015,-,,0.96582,0.372,14.7,46.75,0.369,0.3703,0.3715,53.07,31.1
BTC-26DEC25-75000-P,-,1975.7,,-13.01781,-11.53819,48.12015,-,,-0.03418,0.005,0.6,50.06,0.0039,0.004,0.0042,50.8,0.1
BTC-26DEC25-80000-C,1,491.1,,211.45806,-14.80535,64.86708,-,,0.9506,0.3325,14.1,44.09,0.328,0.3299,0.3315,50.67,45.2
BTC-26DEC25-80000-P,188.6,2021.3,,-18.82993,-14.80644,64.87186,-,,-0.04941,0.006,75,47.29,0.0055,0.0059,0.006,48.21,0.1
BTC-26DEC25-85000-C,-,170.9,,217.97154,-18.50124,85.27816,-,,0.92998,0.2715,13.7,43.13,0.2885,0.2902,0.2915,47.35,31.2
BTC-26DEC25-85000-P,74.8,2623.6,,-26.70749,-18.50124,85.27816,-,,-0.07002,0.0085,72.1,45.07,0.008,0.0084,0.0085,45.77,0.1
BTC-26DEC25-90000-C,0.5,905.8,,221.24649,-22.94133,110.569,0.00001,,0.90107,0.243,13.4,41.78,0.25,0.2517,0.2535,45.52,41.7
BTC-26DEC25-90000-P,201,2219.1,,-37.82543,-22.94133,110.569,0.00001,,-0.09893,0.0125,84.5,42.96,0.0115,0.0121,0.0125,44.03,48.9
BTC-26DEC25-95000-C,217.5,962.3,,220.5373,-27.90236,139.88831,0.00001,,0.8621,0.2159,13.5,40.4,0.213,0.2148,0.216,42.95,31.1
BTC-26DEC25-95000-P,452.9,2339.9,,-52.92296,-27.9009,139.88099,0.00001,,-0.13789,0.0175,46.8,41.53,0.017,0.0175,0.018,42.38,45.9
BTC-26DEC25-100000-C,146,1922.2,,214.78237,-33.2913,171.87869,0.00001,,0.81078,0.1813,13.8,39.43,0.1785,0.1803,0.182,41.84,44.9
BTC-26DEC25-100000-P,17.5,2239.8,,-73.07532,-33.2913,171.87869,0.00001,,-0.18922,0.0255,93.6,40.17,0.0245,0.0253,0.0255,40.86,0.1
BTC-26DEC25-105000-C,-,1260.9,,204.09172,-38.35847,202.6964,0.00001,,0.74786,0.1335,6,39,0.1475,0.1488,0.15,40.46,6
BTC-26DEC25-105000-P,70.3,2467.1,,-98.15885,-38.35847,202.6964,0.00001,,-0.25214,0.036,64.1,39.48,0.0355,0.036,0.0365,40.07,29.4
BTC-26DEC25-110000-C,36.3,1661.2,,188.7918,-42.56886,228.5632,0.00001,,0.67493,0.121,8,38.73,0.12,0.1208,0.1215,39.51,0.1
BTC-26DEC25-110000-P,8.4,1971.8,,-127.85165,-42.56886,228.5632,0.00001,,-0.32507,0.051,58.9,38.77,0.0495,0.0502,0.0505,39.29,0.1
BTC-26DEC25-115000-C,47.8,1361.3,,170.04871,-45.36267,246.00343,0.00002,,0.59569,0.0955,51.5,38.24,0.0955,0.0966,0.097,38.96,2
BTC-26DEC25-115000-P,62,762.2,,-160.99627,-45.36278,246.00398,0.00002,,-0.40433,0.068,0.6,38.64,0.068,0.0682,0.069,39.12,61.4
BTC-26DEC25-120000-C,164,4449.7,,149.3618,-46.52742,253.15351,0.00002,,0.51473,0.076,61,38.24,0.0755,0.0763,0.0765,38.71,0.7
BTC-26DEC25-120000-P,59.9,721.9,,-196.06743,-46.52742,253.15351,0.00002,,-0.48527,0.09,0.6,38.51,0.09,0.0902,0.091,38.98,6
BTC-26DEC25-125000-C,55.1,3576.8,,128.3757,-46.02592,250.11924,0.00002,,0.43659,0.0595,67,38.3,0.059,0.0598,0.06,38.77,0.7
BTC-26DEC25-125000-P,2,318.3,,-231.45521,-46.02481,250.11322,0.00002,,-0.56344,0.1155,1.9,38.46,0.1155,0.1159,0.117,39.17,16.6
BTC-26DEC25-130000-C,265.6,4610.8,,108.37661,-44.11091,238.60005,0.00002,,0.36464,0.0465,6.1,38.59,0.046,0.0465,0.0465,38.83,0.1
BTC-26DEC25-130000-P,2.2,234.9,,-265.84673,-44.10931,238.59142,0.00002,,-0.63539,0.142,19.2,37.88,0.143,0.1449,0.1465,39.62,16.2
BTC-26DEC25-135000-C,0.6,1301.4,,90.12908,-41.0954,220.96183,0.00001,,0.30055,0.036,5.7,38.82,0.0355,0.036,0.036,39.08,0.1
BTC-26DEC25-135000-P,-,111.2,,-298.4711,-41.09735,220.97233,0.00001,,-0.69943,0.206,49,37.92,0.1745,0.1766,0.1785,40.07,16.2
BTC-26DEC25-140000-C,256.8,9960.9,,74.26926,-37.5692,200.0212,0.00001,,0.24592,0.0278,2.2,39.22,0.0275,0.0279,0.028,39.51,0.1
BTC-26DEC25-140000-P,-,158.5,,-328.7315,-37.5692,200.0212,0.00001,,-0.75408,0.2395,9,37.77,0.208,0.2108,0.2125,40.45,0.1
BTC-26DEC25-145000-C,218.7,749.3,,60.39393,-33.46789,177.06163,0.00001,,0.19867,0.0212,58.4,39.45,0.021,0.0214,0.022,40.12,90.2
BTC-26DEC25-145000-P,-,0.1,,-356.99971,-33.46789,177.06163,0.00001,,-0.80133,0.281,39.5,37.97,0.244,0.2465,0.2485,41,0.1
BTC-26DEC25-150000-C,9,5714.5,,48.93348,-29.49848,154.58977,0.00001,,0.16014,0.0165,71.1,39.71,0.016,0.0165,0.017,40.47,2.5
BTC-26DEC25-150000-P,-,3.6,,-382.85829,-29.49622,154.57795,0.00001,,-0.83988,0.274,34.5,38.6,0.282,0.2839,0.287,42.38,7.7
BTC-26DEC25-160000-C,3.3,5124.5,,32.42137,-22.72523,115.7589,0.00001,,0.10537,0.0105,1.6,41.04,0.01,0.0102,0.0105,41.55,14.7
BTC-26DEC25-160000-P,-,476,,-428.15474,-22.72317,115.74842,0.00001,,-0.89464,0.327,38,38.4,0.3595,0.3621,0.365,44.04,6.9
BTC-26DEC25-170000-C,2,2834.5,,21.93782,-17.49111,86.19078,0.00001,,0.071,0.0065,1,42.5,0.0065,0.0066,0.007,43.18,82
BTC-26DEC25-170000-P,-,15.4,,-467.42024,-17.49111,86.19078,0.00001,,-0.929,0.4713,37.5,37.84,0.44,0.443,0.446,46.37,6.4
BTC-26DEC25-180000-C,10.6,3554.8,,15.21011,-13.54389,64.53648,-,,0.04909,0.0044,2,43.83,0.0043,0.0044,0.0045,44.2,0.1
BTC-26DEC25-180000-P,-,0.4,,-502.93572,-13.54242,64.52947,-,,-0.95092,0.5075,31.1,35.38,0.522,0.5253,0.529,49.71,6
BTC-26DEC25-190000-C,0.8,1787.9,,10.78313,-10.56665,48.76125,-,,0.03474,0.0032,2,45.08,0.0029,0.0031,0.0032,45.81,0.1
BTC-26DEC25-190000-P,-,-,,-536.14648,-10.56665,48.76125,-,,-0.96526,-,31.1,30.58,0.6055,0.6084,0.6115,51.44,5.6
BTC-26DEC25-200000-C,8.2,8460.2,,7.9236,-8.45124,37.73418,-,,0.0255,0.0022,2,46.6,0.0021,0.0022,0.0023,47.24,0.1
BTC-26DEC25-200000-P,-,21.1,,-567.79286,-8.45024,37.7297,-,,-0.9745,0.724,31.1,-,0.689,0.6921,0.6955,54.8,5.3
BTC-26DEC25-210000-C,0.1,295.4,,5.87307,-6.74755,29.28169,-,,0.01888,0.0016,0.6,47.82,0.0015,0.0016,0.0018,49.03,0.1
BTC-26DEC25-210000-P,-,-,,-598.62808,-6.74755,29.28169,-,,-0.98112,-,31.1,-,0.7725,0.776,0.781,60.48,5
BTC-26DEC25-220000-C,-,294.6,,4.70228,-5.78941,24.22933,-,,0.01513,0.001,2,49.55,0.0012,0.0013,0.0014,50.55,0.1
BTC-26DEC25-220000-P,-,0.1,,-628.58463,-5.78941,24.22933,-,,-0.98487,0.938,35.9,-,0.856,0.8602,0.8645,62.42,4.8
BTC-26DEC25-230000-C,2.2,217.9,,3.53463,-4.61474,18.91528,-,,0.01136,0.0009,44.6,50.01,0.0008,0.001,0.0011,51.94,0.1
BTC-26DEC25-230000-P,-,-,,-658.53805,-4.61474,18.91528,-,,-0.98864,-,35.7,-,0.94,0.9443,0.95,67.72,4.6
BTC-26DEC25-240000-C,-,243.3,,2.9103,-4.01953,15.97848,-,,0.00936,0.0008,42.6,51.04,0.0006,0.0008,0.001,54.1,0.1
BTC-26DEC25-240000-P,-,0.1,,-687.94815,-4.01953,15.97848,-,,-0.99064,1.1385,31.1,-,1.025,1.0286,1.033,68.03,4.4
BTC-26DEC25-260000-C,-,198.2,,2.08028,-3.171,11.91388,-,,0.00671,0.0005,2,53.64,0.0004,0.0006,0.0008,57.71,0.1
BTC-26DEC25-260000-P,-,-,,-746.35,-3.1706,11.91238,-,,-0.99329,-,4,-,1.1925,1.1974,1.204,78.14,4
BTC-26DEC25-280000-C,-,148.2,,1.33701,-2.20606,8.03487,-,,0.00431,0.0005,47.5,54.34,0.0002,0.0004,0.0006,60.4,0.1
BTC-26DEC25-280000-P,-,-,,-804.66452,-2.20606,8.03487,-,,-0.99569,-,3.8,-,1.361,1.3662,1.3735,84.7,3.8
BTC-26DEC25-300000-C,-,300.9,,0.91201,-1.6129,5.69782,-,,0.00294,0.0004,86.6,54.88,0.0001,0.0003,0.0005,63.32,0.1
BTC-26DEC25-300000-P,3.5,3.6,,-862.66105,-1.6129,5.69782,-,,-0.99706,1.5415,34.6,-,1.5295,1.535,1.543,90.81,3.5
BTC-26DEC25-320000-C,12.6,156.7,,0.78254,-1.47778,4.97647,-,,0.00253,0.0002,66.2,58.23,0.0001,0.0002,0.0004,65.63,0.1
BTC-26DEC25-320000-P,10,10,,-920.36195,-1.47797,4.97711,-,,-0.99747,1.7105,34.4,-,1.698,1.704,1.7125,96.61,3.3
BTC-26DEC25-340000-C,-,253.9,,0.68827,-1.37769,4.44289,-,,0.00223,0.0001,63.4,61.36,0.0001,0.0002,0.0003,67.25,0.1
BTC-26DEC25-340000-P,-,-,,-978.02777,-1.37786,4.44344,-,,-0.99777,-,3.1,-,1.8665,1.8729,1.8795,96.96,3.1
BTC-26DEC25-400000-C,-,635.1,,0.53583,-1.23739,3.56867,-,,0.00175,0.0001,63.4,69.62,0.0001,0.0002,0.0003,76.11,16.1
BTC-26DEC25-400000-P,-,0.1,,-1150.89491,-1.23739,3.56867,-,,-0.99825,2.468,31.1,-,2.3735,2.3799,2.39,115.55,2.6
