产品,交易量,未结订单,外在价值,Rho,Theta,Vega,Gamma,NDelta,Δ|增量,最终,大小,IV 报价,买价,标记,卖价,IV 询价,大小
ETH-26DEC25-3000-C,-,43445,,7.23386,-1.30644,3.95325,0.00009,,0.91269,0.341,549,66.74,0.369,0.3713,0.374,72.59,549
ETH-26DEC25-3000-P,10,8012,,-1.4017,-1.3064,3.95314,0.00009,,-0.0873,0.0213,2080,68.72,0.017,0.0176,0.018,69.89,1
ETH-26DEC25-3200-C,-,19178,,7.35868,-1.55966,4.82282,0.00011,,0.88536,0.2995,715,64.93,0.3315,0.3346,0.337,70.26,552
ETH-26DEC25-3200-P,504,6373,,-1.85272,-1.5597,4.82293,0.00011,,-0.11465,0.027,1415,67.45,0.0235,0.024,0.0245,68.41,1
ETH-26DEC25-3400-C,-,4711,,7.39246,-1.8178,5.73035,0.00014,,0.85291,0.2705,711,64.12,0.2965,0.2996,0.3025,68.99,559
ETH-26DEC25-3400-P,2035,4266,,-2.39447,-1.81777,5.73023,0.00014,,-0.14708,0.036,1762,66.14,0.0315,0.0321,0.0325,66.95,1
ETH-26DEC25-3500-C,-,14155,,7.37005,-1.94972,6.19129,0.00015,,0.83459,0.251,256,65.46,0.282,0.283,0.2845,67.33,256
ETH-26DEC25-3500-P,25,8990,,-2.70483,-1.94972,6.19129,0.00015,,-0.16541,0.0445,1335,65.76,0.0365,0.037,0.0375,66.51,1
ETH-26DEC25-3600-C,-,3104,,7.32417,-2.07896,6.64564,0.00016,,0.81506,0.236,147,63.73,0.264,0.2669,0.2695,67.58,568
ETH-26DEC25-3600-P,108,6634,,-3.03846,-2.07893,6.64553,0.00016,,-0.18493,0.051,1156,65.39,0.042,0.0425,0.043,66.09,7
ETH-26DEC25-3800-C,-,6579,,7.16465,-2.32444,7.51167,0.00019,,0.77268,0.2155,175,64.15,0.235,0.2364,0.2375,65.69,175
ETH-26DEC25-3800-P,29,5030,,-3.7738,-2.32444,7.51167,0.00019,,-0.22732,0.066,1091,64.62,0.0545,0.0551,0.0555,65.24,1
ETH-26DEC25-4000-C,2,74530,,6.92264,-2.54346,8.2845,0.00021,,0.72663,0.194,200,63.69,0.207,0.2085,0.21,65.37,200
ETH-26DEC25-4000-P,599,9933,,-4.59138,-2.54344,8.28443,0.00021,,-0.27336,0.072,1118,64.06,0.0695,0.0703,0.071,64.9,1
ETH-26DEC25-4200-C,5,21819,,6.61298,-2.72614,8.92728,0.00022,,0.67808,0.168,118,63.6,0.182,0.1831,0.184,64.64,118
ETH-26DEC25-4200-P,135,2130,,-5.47673,-2.72613,8.92725,0.00022,,-0.32191,0.091,6,63.9,0.0875,0.088,0.0885,64.42,1
ETH-26DEC25-4400-C,10,5505,,6.25248,-2.86549,9.4166,0.00024,,0.62823,0.1495,403,63.58,0.1595,0.1602,0.161,64.32,1
ETH-26DEC25-4400-P,72,4992,,-6.41309,-2.86549,9.4166,0.00024,,-0.37177,0.1115,1005,63.58,0.1075,0.1082,0.109,64.32,215
ETH-26DEC25-4500-C,48,21039,,6.05803,-2.91812,9.6002,0.00024,,0.60318,0.1455,405,63.51,0.149,0.1497,0.1505,64.24,1
ETH-26DEC25-4500-P,20,1630,,-6.8954,-2.91812,9.6002,0.00024,,-0.39682,0.134,886,63.49,0.1185,0.1193,0.12,64.22,1
ETH-26DEC25-4600-C,64,5807,,5.85675,-2.9595,9.74274,0.00025,,0.57822,0.1395,420,63.42,0.139,0.1399,0.1405,64.14,1
ETH-26DEC25-4600-P,1,3518,,-7.38453,-2.9595,9.74274,0.00025,,-0.42178,0.1365,612,63.38,0.13,0.1309,0.1325,64.57,704
ETH-26DEC25-4800-C,233,2683,,5.44176,-3.00649,9.90805,0.00025,,0.52901,0.117,880,63.43,0.121,0.1217,0.1225,64.14,107
ETH-26DEC25-4800-P,200,4171,,-8.3754,-3.00647,9.90796,0.00025,,-0.471,0.174,560,63.34,0.155,0.1559,0.157,64.28,106
ETH-26DEC25-5000-C,1414,53691,,5.01974,-3.01087,9.92356,0.00025,,0.48142,0.103,871,63.43,0.105,0.1057,0.1065,64.13,107
ETH-26DEC25-5000-P,19,2793,,-9.37295,-3.01087,9.92356,0.00025,,-0.51858,0.188,113,63.3,0.182,0.183,0.1845,64.47,113
ETH-26DEC25-5200-C,13,2401,,4.60138,-2.97695,9.80646,0.00025,,0.43606,0.089,813,63.48,0.091,0.0917,0.0925,64.19,219
ETH-26DEC25-5200-P,10,290,,-10.36719,-2.9769,9.8063,0.00025,,-0.56395,0.2315,6,63.54,0.2115,0.212,0.2135,64.49,13
ETH-26DEC25-5400-C,55,9091,,4.19514,-2.91133,9.57747,0.00024,,0.39341,0.0725,1687,63.44,0.0785,0.0794,0.08,64.17,1
ETH-26DEC25-5400-P,-,675,,-11.34897,-2.91133,9.57747,0.00024,,-0.60659,0.2925,100,62.72,0.2405,0.2429,0.2465,65.63,222
ETH-26DEC25-5500-C,106,7446,,3.99848,-2.86789,9.42774,0.00024,,0.37315,0.069,1473,63.49,0.073,0.0739,0.0745,64.23,101
ETH-26DEC25-5500-P,-,510,,-11.83333,-2.86795,9.42794,0.00024,,-0.62683,0.297,100,62.01,0.255,0.2589,0.2625,65.7,100
ETH-26DEC25-5600-C,3,1734,,3.80763,-2.81972,9.25906,0.00023,,0.35375,0.066,1372,63.62,0.068,0.0688,0.0695,64.37,101
ETH-26DEC25-5600-P,-,164,,-12.31219,-2.81972,9.25906,0.00023,,-0.64625,0.3145,100,62.08,0.2715,0.2753,0.28,66.34,245
ETH-26DEC25-5800-C,4,951,,3.44351,-2.70953,8.87353,0.00022,,0.31731,0.053,897,63.87,0.059,0.0596,0.06,64.39,1
ETH-26DEC25-5800-P,-,100,,-13.25201,-2.70953,8.87353,0.00022,,-0.68269,0.387,100,62.21,0.3055,0.3092,0.3145,66.91,182
ETH-26DEC25-6000-C,2048,89841,,3.10528,-2.58565,8.44093,0.00021,,0.28407,0.05,1525,64.02,0.051,0.0516,0.0525,64.84,393
ETH-26DEC25-6000-P,-,452,,-14.16595,-2.58565,8.44093,0.00021,,-0.71593,0.3925,100,62.22,0.3405,0.3444,0.35,67.43,231
ETH-26DEC25-6200-C,8,1468,,2.79412,-2.4531,7.97898,0.0002,,0.25396,0.0425,470,64.42,0.0445,0.0448,0.0455,65,101
ETH-26DEC25-6200-P,-,36,,-15.05282,-2.4531,7.97898,0.0002,,-0.74604,0.466,591,62.45,0.377,0.3806,0.387,68.23,685
ETH-26DEC25-6400-C,3,849,,2.51096,-2.31686,7.50427,0.00019,,0.22692,0.0345,1301,64.58,0.0385,0.039,0.0395,65.2,1
ETH-26DEC25-6400-P,-,33,,-15.91169,-2.31686,7.50427,0.00019,,-0.77308,0.4995,582,62.43,0.414,0.4179,0.4245,68.87,581
ETH-26DEC25-6500-C,14,18603,,2.37972,-2.24863,7.26621,0.00018,,0.2145,0.0355,987,64.78,0.036,0.0364,0.037,65.42,242
ETH-26DEC25-6500-P,-,143,,-16.33078,-2.24863,7.26621,0.00018,,-0.7855,0.484,578,62.2,0.4325,0.4368,0.4435,69.17,577
ETH-26DEC25-7000-C,7,57295,,1.81506,-1.91136,6.10277,0.00015,,0.16178,0.025,717,65.49,0.0255,0.0259,0.0265,66.25,423
ETH-26DEC25-7000-P,-,130,,-18.33471,-1.91136,6.10277,0.00015,,-0.83822,0.5585,562,62.58,0.53,0.5341,0.5415,71.16,562
ETH-26DEC25-7500-C,45,30698,,1.38753,-1.60546,5.05751,0.00012,,0.12262,0.0185,573,66.46,0.0185,0.0188,0.019,66.92,1
ETH-26DEC25-7500-P,-,35,,-20.20151,-1.60546,5.05751,0.00012,,-0.87738,0.5935,554,60.51,0.6285,0.6347,0.643,73.72,553
ETH-26DEC25-8000-C,16,14452,,1.07136,-1.3473,4.17874,0.0001,,0.09408,0.0135,876,67.31,0.0135,0.0139,0.014,67.87,1
ETH-26DEC25-8000-P,-,77,,-21.95702,-1.34723,4.17853,0.0001,,-0.90593,0.845,550,61.48,0.7325,0.7375,0.7465,76.49,550
ETH-26DEC25-9000-C,21,13083,,0.65627,-0.94861,2.8535,0.00007,,0.05711,0.0075,1231,69.05,0.0075,0.008,0.008,69.88,1
ETH-26DEC25-9000-P,-,6,,-25.25058,-0.94861,2.8535,0.00007,,-0.94289,1.602,547,-,0.9385,0.9471,0.957,82.5,547
ETH-26DEC25-10000-C,10,9407,,0.42343,-0.68549,1.99797,0.00004,,0.03665,0.0046,184,71.5,0.0047,0.005,0.0048,71.74,1
ETH-26DEC25-10000-P,-,4,,-28.36196,-0.68549,1.99797,0.00004,,-0.96335,1.7845,546,-,1.1495,1.1595,1.171,89.91,546
ETH-26DEC25-11000-C,1,8195,,0.28415,-0.50522,1.43084,0.00003,,0.0245,0.0031,578,73.43,0.003,0.0032,0.0035,75.05,430
ETH-26DEC25-11000-P,-,-,,-31.37978,-0.50522,1.43084,0.00003,,-0.9755,1.9795,546,-,1.362,1.3732,1.386,97.22,546
